Timestamp,Value
115400,0.001
115401,-0.005
115402,-0.015
115403,-0.025
115404,-0.03
115405,-0.031
115406,-0.03
115407,-0.027
115408,-0.026000000000000002
115409,-0.03
115410,-0.031
115411,-0.023
115412,-0.02
115413,-0.026000000000000002
115478,-0.018000000000000002
115479,0.061
115480,0.261
115481,0.5660000000000001
115482,0.8220000000000001
115483,0.782
115484,0.339
115485,-0.299
115486,-0.743
115487,-0.773
115488,-0.525
115489,-0.274
115490,-0.146
115491,-0.092
115492,-0.051000000000000004
115493,-0.018000000000000002
115558,-0.003
115559,0.003
115560,0.003
115561,0
115562,0.001
115563,0.009000000000000001
115564,0.023
115565,0.029
115566,0.027
115567,0.026000000000000002
115568,0.027
115569,0.029
115570,0.032
115571,0.036000000000000004
115572,0.043000000000000003
115573,0.044
115638,0.04
115639,0.037
115640,0.043000000000000003
115641,0.05
115642,0.058
115643,0.066
115644,0.07100000000000001
115645,0.07100000000000001
115646,0.069
115647,0.069
115648,0.073
115649,0.083
115650,0.092
115651,0.094
115652,0.092
115653,0.088
115718,0.08600000000000001
115719,0.08700000000000001
115720,0.08700000000000001
115721,0.085
115722,0.08
115723,0.078
115724,0.07200000000000001
115725,0.063
115726,0.051000000000000004
115727,0.043000000000000003
115728,0.042
115729,0.037
115730,0.024
115731,0.013000000000000001
115732,0.004
115733,-0.002
115798,-0.01
115799,-0.016
115800,-0.015
115801,-0.011
115802,-0.01
115803,-0.013000000000000001
115804,-0.016
115805,-0.018000000000000002
115806,-0.023
115807,-0.027
115808,-0.032
115809,-0.04
115810,-0.048
115811,-0.054
115812,-0.057
115813,-0.057
115878,-0.055
115879,-0.055
115880,-0.055
115881,-0.057
115882,-0.058
115883,-0.056
115884,-0.054
115885,-0.055
115886,-0.058
115887,-0.056
115888,-0.047
115889,-0.042
115890,-0.045
115891,-0.049
115892,-0.05
115893,-0.048
115958,-0.048
115959,-0.048
115960,-0.051000000000000004
115961,-0.055
115962,-0.062
115963,-0.064
115964,-0.061
115965,-0.06
115966,-0.066
115967,-0.07100000000000001
115968,-0.07200000000000001
115969,-0.07200000000000001
115970,-0.077
115971,-0.081
115972,-0.079
115973,-0.077
116038,-0.079
116039,-0.085
116040,-0.084
116041,-0.08
116042,-0.079
116043,-0.082
116044,-0.08600000000000001
116045,-0.089
116046,-0.09
